ETC_20150317_000001	Kepa
ETC_20190104_036599	Brushed against Boruta
ETC_20190104_036600	A title given to players who have participated in the Boruta raid 5 times or more.
ETC_20190104_036601	Fearless Against Boruta
ETC_20190104_036602	A title given to players who have participated in the Boruta raid 10 times or more.
ETC_20190104_036603	Zealous Believer
ETC_20190104_036604	You have passed the test of the Zealot Order.
ETC_20190104_036605	Wandering Gunman
ETC_20190104_036606	You have completed Manager Rota's quest and helped the Bullet Marker Master.
ETC_20190104_036607	Romantic Matador
ETC_20190104_036608	You have assisted the Matador Master in retrieving her practice equipment.
ETC_20190104_036609	Shadow Master
ETC_20190104_036610	You have learned to master the shadows by helping the Shadowmancer Master complete her research.
ETC_20190104_036611	Divine Exorcist
ETC_20190104_036612	You have passed the Exorcist Master's test.
ETC_20190104_036613	Master of the Yin and Yang
ETC_20190104_036614	You have helped the Onmyoji Master through Knight Commander Uska.
ETC_20190104_036615	Master of the Yin and Yang 
ETC_20190104_036616	Determined Gladiator
ETC_20190104_036617	You have successfully completed the Retiarius Master's training.
ETC_20190104_036618	Master of the Flute
ETC_20190104_036619	You have helped the Pied Piper concoct a cure for the hypnotized soldiers.
ETC_20190104_036620	Prestigious Commander
ETC_20190104_036621	You have met the Chaplain Master, who is a prestigious figure amongst soldiers.
ETC_20190104_036622	TBL Ranking Reward [Resets Mondays at 06:00]
ETC_20190104_036623	Колекция
ETC_20190104_036624	Jovial Collector
ETC_20190104_036625	You have completed over 50 collections.
ETC_20190104_036626	Complete 50 collections
ETC_20190104_036627	Obsessive Collector
ETC_20190104_036628	You have completed over 100 collections.
ETC_20190104_036629	Complete 100 collections
ETC_20190104_036630	Complete the Zealot Master gimmick
ETC_20190104_036631	Complete the Bullet Marker Master gimmick
ETC_20190104_036632	Complete the Matador Master gimmick
ETC_20190104_036633	Complete the Shadowmancer Master gimmick
ETC_20190104_036634	Complete the Exorcist Master gimmick
ETC_20190104_036635	Complete the Onmyoji gimmick
ETC_20190104_036636	Complete the Retiarius Master gimmick
ETC_20190104_036637	Complete the Pied Piper Master gimmick
ETC_20190104_036638	Complete the Chaplain Master gimmick
ETC_20190104_036639	Number of complete collections
ETC_20190104_036640	Brick Smash: Stun
ETC_20190104_036641	Throw Sand: Darkness
ETC_20190104_036642	Collect the Souls
ETC_20190104_036643	The power of the monsters' souls has been gathered
ETC_20190104_036644	No jumping
ETC_20190104_036645	Forced Incarceration
ETC_20190104_036646	You have been transported against your will by the sheer force of Boruta's wrath. You begin to lose 5% of your max. HP every 5 seconds for a 30-second duration.
ETC_20190104_036647	Hoarded Echoes
ETC_20190104_036648	Boruta's ancient cry is echoing within you. Beneficial buffs will be removed every 5 seconds from those around you except for your Guild members.
ETC_20190104_036649	Vengeance
ETC_20190104_036650	Your heart is now filled with the Vengeance. All attacking enemies will be inflicted with 1% of their attack damage per stack of Vengeance. Enemies can receive up to a maximum of 90% of their attacking damage.
ETC_20190104_036651	Strengthened Unity
ETC_20190104_036652	The power of the connection formed between you and your companion protects you.
ETC_20190104_036653	Borutos Kapas Test Buff
ETC_20190104_036654	Buff for testing Boruta.
ETC_20190104_036655	Mark: Borutos Kapas
ETC_20190104_036656	A mark that the Dragon Boruta has left on the guild members who have contributed greatly in suppressing his return.{nl}Lasts for 2 weeks maximum.
ETC_20190104_036657	All attacks are ignored except for those stated otherwise.
ETC_20190104_036658	Increased physical critical attack
ETC_20190104_036659	Attack-type monster.
ETC_20190104_036660	Defense-type monster.
ETC_20190104_036661	Range
ETC_20190104_036662	Range-type monster.
ETC_20190104_036663	Magic
ETC_20190104_036664	Magic-type monster.
ETC_20190104_036665	Support
ETC_20190104_036666	Support-type monster.
ETC_20190104_036667	Contagious Electrocution
ETC_20190104_036668	You have been electrocuted. Your movement speed is decreased. The electrocution is contagious to those around you.
ETC_20190104_036669	You have been electrocuted. Your movement speed and physical/magic defense are lowered.
ETC_20190104_036670	Instant Death
ETC_20190104_036671	Damage 80,000
ETC_20190104_036672	Paralysis
ETC_20190104_036673	You have been paralyzed by lightning. Your movement speed and defense are lowered.
ETC_20190104_036674	Provides a blessing that temporarily gives the character an additional Holy property attack. Requires Gyslotis x10 for each sale.
ETC_20190104_036675	Additional Holy Property Damage: +#{CaptionRatio}#{nl}Duration: #{CaptionTime}# minutes
ETC_20190104_036676	Provides a blessing that temporarily adds Holy property damage for every attack. Requires Holy Powder x10 for each sale.
ETC_20190104_036677	Additional Damage: +#{CaptionRatio}#{nl}Duration: #{CaptionTime}# minutes
ETC_20190104_036678	Provides a blessing that temporarily increases a character's magic defense. Requires Holy Water x10 for each sale.
ETC_20190104_036679	Magic Defense: +#{CaptionRatio}#%{nl}Duration: #{CaptionTime}# minutes
ETC_20190104_036680	Provides a blessing that temporarily increases a character's physical defense. Requires Holy Water x10 for each sale.
ETC_20190104_036681	Physical Defense: +#{CaptionRatio}#%{nl}Duration: #{CaptionTime}# minutes
ETC_20190104_036682	Deposit into Shared Guild Storage
ETC_20190104_036683	Withdraw from Shared Guild Storage
ETC_20190104_036684	City Tax Management
ETC_20190104_036685	Remove Community Post
ETC_20190104_036686	Collection: Tenet Church B1
ETC_20190104_036687	Collection: Tenet Church 1F
ETC_20190104_036688	Collection: Tenet Church 2F
ETC_20190104_036689	Collection: 2nd Demon Prison
ETC_20190104_036690	Collection: Never-before Seen
ETC_20190104_036691	Collection: Dingofasil District
ETC_20190104_036692	Physical damage +{@st66d_y}{s16}[%d]{/}{/}%% for 6 seconds after using an SP potion
ETC_20190104_036693	Magic Critical Attack +{@st66d_y}{s16}[%d]{/}{/}
ETC_20190104_036694	Magic damage +{@st66d_y}{s16}[%d]{/}{/}%% for 6 seconds after using an SP potion
ETC_20190104_036695	Successful critical attacks give {@st66d_y}{s16}[%d]{/}{/}%% chance of stealth on self for 6 seconds
ETC_20190104_036696	{nl} {nl}Double tap a direction key quickly to dash.{nl}
ETC_20190104_036697	Ваши статы будут увеличены автоматически, {nl}чтобы соответствовать вашему выбору класса {nl}при повышении уровня.
ETC_20190104_036698	{nl} {nl} The function of each stat will be displayed on the bottom of the window.
ETC_20190104_036699	Stat points earned through quests and gimmicks{nl}can be invested freely into the stat of your choice.
ETC_20190104_036700	Make sure to understand the effects of each stat before investing your points in them.{nl}Don't forget to finalize the stat distribution after you're done spending the points.
ETC_20190104_036701	{nl} {nl}All skills can be raised up to level 5 per rank.{nl}Reaching class levels of 16 and 31 increases the level cap of the skills,{nl}and it allows you to learn skills in the next level.
ETC_20190104_036702	{nl} {nl}Click Apply after allocating the skill levels{nl}to finalize them.
ETC_20190104_036703	Вы можете сделать своего персонажа{nl}еще сильнее, изучая новые атрибуты.
ETC_20190104_036704	Attributes can be learned on the Skill and Attributes window.
ETC_20190104_036705	{nl} {nl}The attributes you have learned are displayed on the attribute list window on the right.
ETC_20190104_036706	Right-clicking to learn attributes raises the attribute by 10 levels per click.
ETC_20190104_036707	Прокачка класа позволяет выбрать новый класc.
ETC_20190104_036708	Your class level is displayed at the bottom-right side of the screen.
ETC_20190104_036709	{nl} {nl}Upon reaching class level 45,{nl}the class advancement window will appear below the mini-map,{nl}that you can click to advance in class.{nl}(The first advancement window will appear{nl}when you reach level 15 on your base class.)
ETC_20190104_036710	Вы можете получить положительные эффекты,{nl}заполняя коллекции.
ETC_20190104_036711	Collections can be registered by using collection items.
ETC_20190104_036712	Items obtained for a collection can be registered through the Magic Association NPCs in Orsha and Klaipeda.
ETC_20190104_036713	{nl} {nl}Press {img F11 40 40} or visit a Magic Association NPC to view your registered collection.
ETC_20190104_036714	Check the collections status box on the top of the collection window to check the progress and effects of both registered and unregistered collections.
ETC_20190104_036715	{nl} {nl}Select a collection to check the items needed for completion.
ETC_20190104_036716	 will be enabled when you add the required items on the item slot.
ETC_20190104_036717	{nl} {nl}If you have collection items in your inventory,{nl}use the {img itemcraft_btn 25 25} button to register them in the collection window.
ETC_20190104_036718	{nl} {nl}Items registered in collections cannot be recovered.
ETC_20190104_036719	{nl} {nl}Collection effects are only applied after a collection is complete, and they are applied to the entire Team.
ETC_20190104_036720	{nl} {nl}Click the option at the top of the collection window{nl}to see the effects of all collections completed.
ETC_20190104_036721	{nl} {nl}If one player is not a Token user,{nl}or if they're using a Token but have run out of trades,{nl}the item will become untradable.
ETC_20190104_036722	{nl} {nl}Press {img F1 40 40} to open your Character Info window{nl}and see the time remaining in your Token.
ETC_20190104_036723	{nl}TP Shop Token Benefits{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Ability to list up to 10 items on the Market{nl} - Ability to register items in Market outside min./max. price limits{nl} - Ability to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Premium Gestures{nl} - Unlimited Personal Trades{nl} - Team Storage +30 slots
ETC_20190104_036724	{nl} {nl}The Guild Master and Guild Members{nl}can build a Guild Tower in a field on Channel 1.
ETC_20190104_036725	To build a Guild Tower, you need  
ETC_20190104_036726	   , which you can purchase from Knight Commander Uska in Klaipeda.
ETC_20190104_036727	Guild Towers can be used for many different functions as the Guild Level increases.
ETC_20190104_036728	База Гильдии становится доступной, когда уровень Гильдии увеличится.
ETC_20190104_036729	The Guild Hangout becomes available when reaching Guild Level 2.
ETC_20190104_036730	Guild Quests become available when reaching Guild Level 4.
ETC_20190104_036731	Alchemist - Alchemy Workshop
ETC_20190104_036732	You can register items to the Alchemy Workshop{nl}to use in some Alchemist skills.
ETC_20190104_036733	The Alchemy Workshop icon is added when you advance to the Alchemist class.
ETC_20190104_036734	{nl} {nl}You can register items required for{nl}[Combustion], [Sprinkle HP Potion] and [Sprinkle SP Potion]{nl}in their respective order from left to right.
ETC_20190104_036735	Only potions that can be created{nl}using the Alchemist skill [Tincturing] can be registered{nl}for [Sprinkle HP Potion] and [Sprinkle SP Potion].
ETC_20190104_036736	Скрытые классы
ETC_20190104_036737	Существуют скрытые классы, которые {nl}разблокируются после выполнения {nl}некоторых требований.
ETC_20190104_036738	The advancement buttons for the hidden classes{nl}are not activated unless they are unlocked.
ETC_20190104_036739	{nl} {nl}You must meet specific requirements{nl}to advance to a hidden class.
ETC_20190104_036740	You can unlock a hidden class by completing{nl}an unlock quest or using an Unlock Voucher.
ETC_20190104_036741	Очки атрибутов могут быть извлечены как предмет{nl}и совместно использоваться всей командой через {nl}семейное хранилище.
ETC_20190104_036742	Clicking on the 'Extract' button to the right of Attribute Points{nl}on the Skills and Attributes UI opens the Attribute Extraction UI.
ETC_20190104_036743	{nl} {nl}Attribute points can be extracted{nl}in units of 1,000 and cost 100,000 silver per{nl}1,000 points to extract.
ETC_20190104_036744	{nl} {nl}Upon extraction, an [Attribute Point Scroll]{nl}will be added to your inventory.
ETC_20190104_036745	{nl} {nl}[Attribute Point Scrolls] cannot be traded,{nl}but they can be transferred via Team Storage.
ETC_20190104_036746	Смена класса
ETC_20190104_036747	Вы можете использовать очки, заработанные {nl}за счет посещаемости, событий и другого {nl}игрового контента, чтобы изменить свой класс.
ETC_20190104_036748	Classes can be changed via the Advancement Info window.
ETC_20190104_036749	The Advancement Info window displays the classes that you have currently advanced into.
ETC_20190104_036750	{nl} {nl}Class Change can only be used when you have made at least once advancement in class.
ETC_20190104_036751	Be careful when using Class Change, as you may not be able to change into some classes due to pre-requisite classes that are required for advancement.
ETC_20190104_036752	{nl} {nl}Class Points are required to change classes. You can find out how Class Points can be earned through the icon next to the Change Class button.
ETC_20190104_036753	{nl} {nl}1,000 points are required for a class change and the maximum number of points you can earn per week is limited to 1,000.
ETC_20190104_036754	Except under some circumstances, you cannot receive more than 1,000 points at once per week.{nl} {nl}The amount of points you can earn is reset every Monday at 06:00 (server time), but the number of points you can earn the following week will not be extended even if you have earned less than 1,000 points in the previous week.
ETC_20190104_036755	{nl} {nl}Clicking on the button below the class you want to change lets you select a new class. You can finalize your change by clicking on the confirmation button which displays the prerequisites for advancement.
ETC_20190104_036756	{nl} {nl}You will be able to change classes once you meet the requirements for the requested class change 
ETC_20190104_036757	 and you will be returned to the character select screen once the class change has been finalized.{nl} {nl}Your character's class will be changed once you reconnect to the game.
ETC_20190104_036758	Enhance Seal
ETC_20190104_036759	Seals can be enhanced to improve their stats.
ETC_20190104_036760	{nl} {nl}Seals can be enhanced by visiting Blacksmith Teliavelis in Fedimian.
ETC_20190104_036761	A Seal of equal enhancement level is required for enhancement. The amount of Silver required varies depending on the level of enhancement.
ETC_20190104_036762	Magic Stones can increase the success rate of enhancing your Seal. The number of Magic Stones required in enhancement increase in proportion to the enhancement level of the Seal being enhanced.
ETC_20190104_036763	Participation rewards are available for all players who participate in Remnants of Bernice.{nl}There are also special prizes for the top 3 highest ranking players per class tree.
ETC_20190104_036764	{nl} {nl}Clear the mission to receive a Saalus Cube and Cube of Blessing as rewards.{nl}Additionally, you can receive Sister Aiste's Gift{nl}up to 3 times per team. 
ETC_20190104_036765	.{nl}- Guilds participating in GTW cannot add new members, expel members or disband while the session is undergoing.
ETC_20190104_036766	{nl} {nl}Territory Wars sessions take place on a set schedule in maps called Spot Areas.{nl} {nl}
ETC_20190104_036767	are field areas on which Territory Wars take place. Their locations can be viewed via the World Map.
ETC_20190104_036768	(From left to right: GTW ongoing, not seized and seized spot areas)
ETC_20190104_036769	If you become incapable of combat inside a Spot Area, you can choose one area to respawn out of the following.{nl}- Nearby city {nl}- Guild Tower (requires an installed Guild Tower){nl}- Base Camp (requires a Squire Base Camp){nl} {nl}[Important]{nl}You will automatically be moved to a nearby city after some time has passed.
ETC_20190104_036770	{nl} {nl}Guilds that have seized Spot Areas will receive a Seize buff.
ETC_20190104_036771	Seize buffs increase in level the longer the spot area remains seized by the same guild.{nl}The buff effects are as follows.{nl} {nl}[Guardian]{nl} - Decreases damage received by 20%{nl} - Additional 5% decrease per stack{nl} - Max. 3 stacks (stack increases with the duration the spot is seized for){nl} {nl}The buff will be removed upon leaving the seized spot area.
ETC_20190104_036772	Members of a guild that destroys an amplifier can receive the following buffs.{nl} {nl}[Damage and movement speed increase]{nl} - Damage increase 30%{nl} - Movement speed  +5{nl} {nl}[Points earned increase]{nl} - Additional +5 points earned for each Guild{nl} - Additional +5 points per stack{nl} - Max. 5 stacks (stack increases with every amplifier destroyed){nl} {nl}The guild in control of the spot area cannot attack the amplifiers and when the spot area ownership is changed, the position of the amplifiers will also be rearranged.{nl}The buff will be removed upon leaving the spot area where the destroyed amplifiers are located.
ETC_20190104_036773	{nl} {nl}Powerful monsters and Tree Root Crystals can also randomly spawn{nl}in the spot areas.
ETC_20190104_036774	The last guild to attack the monster receives a temporary but very useful buff which includes the following.{nl} {nl}[Thick Skin]{nl} - Damage received reduced by 30%{nl} - Immunity to knockback and knockdown{nl} {nl}The buff will be removed once you leave the spot area in which the monster was defeated.{nl} {nl}The last guild to attack the Tree Root Crystal receives various buffs depending on the type of Crystal destroyed.{nl} {nl}After the session ends, you can check the World Map to see which guilds seized which Spots.{nl} {nl}For more information on schedules and benefits, please check our official website at treeofsavior.com.
ETC_20190104_036775	To enter the Gemstone Feud, interact with{nl}a Lawless Mine Area NPC.{nl}These NPC are located in the following areas.{nl}1. Klaipeda (North) 2. Miner's Village (North end){nl}3. Orsha (East) 4. Fedimian (West)
ETC_20190104_036776	{nl} {nl}Use the Mercenary Badge you receive from{nl}the Gemstone Feud to purchase other items from{nl}the Lawless Mine Area NPC.
ETC_20190104_036777	Общее Хранилище Гильдии
ETC_20190104_036778	Гильдии, достигшие 8 ур. и выполнившие более 12 {nl}квестов гильдии, могут использовать{nl}
ETC_20190104_036779	во всех областях, {nl}кроме PVP и подземелий.
ETC_20190104_036780	can be accessed by clicking on 
ETC_20190104_036781	Общее хранил.
ETC_20190104_036782	in the Guild UI (Alt+G).
ETC_20190104_036783	{nl} {nl}The maximum capacity for storage is 40 and it can be increased by increments of +10 when the Guild Level reaches 10, 15 and 20.
ETC_20190104_036784	{nl} {nl}You must either be a Guild Master or be of qualified rank 
ETC_20190104_036785	 to use the Shared Storage.{nl}You must have Trade Level of 5 or above to make a deposit into the storage.{nl}Only items available for 1:1 trading can be deposited/withdrawn from the storage.
ETC_20190104_036786	{nl}{nl}Guild Mileage is deducted by 20 with every deposit/withdrawal.{nl}How to Earn Guild Mileage{nl}- +3 Mileage per Guild Member attendance per day{nl}- +15 Mileage per Guild Member participating in Guild Quest upon completion{nl}- +30 Mileage per Guild Member that enters a Territory Wars Location
ETC_20190104_036787	{nl} {nl}All guild members' withdrawals and deposits are recorded for up to 3 months.
ETC_20190104_036788	Target Skills
ETC_20190104_036789	Some classes have skills that you can choose to target a specific individual.{nl}Using these skills allows you to buff your desired target.
ETC_20190104_036790	{nl} {nl}Press the arrow key towards the direction{nl}of the party member that you want to buff.{nl}If you want to use the skill on yourself,{nl}press the skill once more,{nl}or press the X key to cancel the skill.
ETC_20190104_036791	The collection is not registered to sp_server_logging_list. Please inquire with the DB team or Management Team.
ETC_20190104_036792	RVR information log
ETC_20190104_036793	Territory Wars Installation Error
ETC_20190104_036794	Territory Wars Installation Information
ETC_20190104_036795	You have attempted to configure a different type with the identical UserProp name.
ETC_20190104_036796	Shared Guild Storage Error
ETC_20190104_036797	Guild Mileage Error
ETC_20190104_036798	Guild Mileage Info
ETC_20190104_036799	Territory Taxation Error
ETC_20190104_036800	Territory Taxation Info
ETC_20190104_036801	Error code 8 tracking log.
ETC_20190104_036802	Легендарный рейд: Earth Tower
ETC_20190104_036803	Легендарный рейд: Velcoffer's Nest
ETC_20190104_036804	Assault on Klaipeda
ETC_20190104_036805	Event: Assault on Klaipeda
ETC_20190104_036806	Seal
ETC_20190104_036807	Doll
ETC_20190104_036808	Deleted Gem
ETC_20190104_036809	Red Loxodon Gem
ETC_20190104_036810	Physical DEF ratio by item type
ETC_20190104_036811	Magic DEF ratio by item type
ETC_20190104_036812	Ratio by item ClassType
ETC_20190104_036813	Ratio by weapon ClassType
ETC_20190104_036814	DamageRange by weapon ClassType
ETC_20190104_036815	Ratio by Accessory ClassType
ETC_20190104_036816	Grants the token benefits to all your characters in the server for 30 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures{nl} - Able to use unlimited Personal Trades
ETC_20190104_036817	Grants the token benefits to all your characters in the server for 7 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036818	Grants the token benefits to all your characters in the server for 5 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036819	Grants the token benefits to all your characters in the server for 1 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036820	Grants the token benefits to all your characters in the server for 3 hours.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036821	Grants the token benefits to all your characters in the server for 6 hours.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036822	Grants the token benefits to all your characters in the server for 12 hours.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036823	Grants the token benefits to all your characters in the server for 3 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036824	Grants the token benefits to all your characters in the server for 30 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures{nl} - Able to use unlimited Personal Trades
ETC_20190104_036825	Grants the token benefits to all your characters in the server for 15 days.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036826	Grants the token benefits to all your characters in the server for 3 hours.  See remaining time under Character Info. Usable for 14 days after being acquired.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036827	Grants the token benefits to all your characters in the server for 5 days.  See remaining time under Character Info. Usable for 14 days after being acquired.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036828	Grants the token benefits to all your characters in the server for 3 days.  See remaining time under Character Info. Usable for 14 days after being acquired.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036829	Class Change Voucher Lv 4
ETC_20190104_036830	Increases class change points by +3,000.{nl}Class points can be accumulated to a maximum of 3,000 and excess points earned will not be saved.
ETC_20190104_036831	Grants the token benefits to all your characters in the server for 1 hour.  See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures
ETC_20190104_036832	Class Change Voucher Lv 4 (14 Days)
ETC_20190104_036833	[Event] Class Change Voucher Lv 4
ETC_20190104_036834	Legend Card (Demon Lord) Selection Box
ETC_20190104_036835	You can obtain the following items upon use.{nl} - Legend Card Slot Unlock Voucher{nl} - Legend Card (Demon Lord) Envelope
ETC_20190104_036836	Legend Card Slot Unlock Voucher
ETC_20190104_036837	Can only be used after reaching Lv. 100. Using the item will complete the Legend Card Unlock quest and unlock the Legend Card Slot.
ETC_20190104_036838	Legend Card (Demon Lord) Envelope
ETC_20190104_036839	You can receive one of the following items when used.{nl} - Demon Lord Marnox Card x1{nl} - Demon Lord Blut Card x1{nl} - Demon Lord Zaura Card x1{nl} - Demon Lord Nuaele Card x1{nl} - Demon Lord Helgasercle Card x1{nl} - Demon Lord Rexipher Card x1{nl} - Demon Lord Froster Lord Card x1
ETC_20190104_036840	Mysterious Magnifier x10 + 1
ETC_20190104_036841	Contains Mysterious Magnifier x11.
ETC_20190104_036842	Artisan Magnifier x10 + 1
ETC_20190104_036843	Contains Artisan Magnifier x11.
ETC_20190104_036844	2018 Leticia's Treasure Chest (December)
ETC_20190104_036845	A chest filled with Leticia's most precious items. Use to obtain the following items.{nl} - Shining 8-Star Gem Abrasive x3{nl} - Shining Golden Socket Box x3
ETC_20190104_036846	Class Change Voucher Lv 4 (1 Day)
ETC_20190104_036847	Class Change Voucher Lv 4 (60 Days)
ETC_20190104_036848	Class Change for Rank 6 and Below Voucher Lv 4
ETC_20190104_036849	Use to unlock the Miko class. Right-click to use.
ETC_20190104_036850	Use to unlock the Appraiser class. Right-click to use.
ETC_20190104_036851	Use to unlock the Rune Caster class. Right-click to use.
ETC_20190104_036852	Use to unlock the Shinobi class. Right-click to use.
ETC_20190104_036853	Right-click to use and obtain the following items.{nl} - Class Change Voucher Lv 4 x1{nl} - Stat Reset Potion x1{nl} - Settlement Support Potion Lv2 x10{nl} - Goddess Sculpture x5{nl} - Keista Restoration Potion Lv 2 x10{nl} - Keistas Bravery Potion x10{nl} - Party Cone x1
ETC_20190104_036854	Grants the token benefits to all your characters in the server for 15 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - Movement speed +3{nl} - +50% EXP from hunting monsters{nl}(Stacks with EXP Tome effects){nl} - Team Storage slots +30{nl} - Able to use Premium Gestures{nl} - Able to use unlimited Personal Trades
ETC_20190104_036855	Class Change Voucher Lv 4 (30 Days)
ETC_20190104_036856	Use to unlock the Nak Muay class. Right-click to use.
ETC_20190104_036857	Attribute Point Scroll
ETC_20190104_036858	Companion Name Change Voucher
ETC_20190104_036859	This voucher is consumed instead of TP when your Companion's name is changed.
ETC_20190104_036860	Class Change Voucher Lv 1
