QUEST_20150317_000001	Please select the user requiring a quest update.
QUEST_20190104_010547	Class Tree Change Helper
QUEST_20190104_010548	We are offering Saviors the chance to change their Class Trees.{nl}We will be offering our services once per character for a 30 day period starting from the time you enter with your character.{nl}We are also giving you the chance to revert back to your original Class Tree, available once per character.
QUEST_20190104_010549	Choose the Class Tree you want to change to.
QUEST_20190104_010550	We are giving out support items to help you grow.{nl}Would you like to receive your item now?
QUEST_20190104_010551	Would you like to apply +11 enhancement to your [Re:Build] Masinios weapon?
QUEST_20190104_010552	Would you like to apply +5 transcendence to your [Re:Build] Masinios weapon?
QUEST_20190104_010553	May the goddess' blessings be with you in [Re:Build].{nl}We are offering to trade your 
QUEST_20190104_010554	[Re:Build] Commemoration Coins
QUEST_20190104_010555	for gifts. There are also limited time rewards.{nl}Available between January 15 to 29, 2019: {#003399}Attribute Points: 1,000 (14 Days){/}{nl}January 29 to February 12, 2019: {#003399}Skill Reset Potion (14 Days){/}{nl}February 12 to March 5, 2019: {#003399}Character Slot Voucher{/}
QUEST_20190104_010556	[Inhouse Testing] Boruta/GTW Area Warp
QUEST_20190104_010557	We are providing warps to Boruta Raid and GTW areas as support for inhouse testing.{nl}You can use 
QUEST_20190104_010558	to return.
QUEST_20190104_010559	3rd Anniversary Helper
QUEST_20190104_010560	It's only once per day!{nl}If you missed any rewards, come back for the double weekend reward!{nl}
QUEST_20190104_010561	 Bring me 30! I'll give you a nice reward for them.
QUEST_20190104_010562	Scouts are the masters of reconnaissance.
QUEST_20190104_010563	But, Archon drove me away from the Mage Tower. {nl}Due to this disturbance, the magic stone activated defensive magic, linking my,{nl}and Archon's spirit to each other.
QUEST_20190104_010564	I've been tied here for hundreds of years... {nl}Since I can't do anything with my astral body.
QUEST_20190104_010565	The bigger problem is that Archon was released as well. {nl}I lost the body, but Archon, who is a demon, is still alive.
QUEST_20190104_010566	By avoiding the eyes of Helgasercle, I was able to come here to continue my research. {nl}I needed to find a way. A way to reduce the power of demons and increase that magical power.
QUEST_20190104_010567	Even I could certainly tell what great deeds you are capable of.{nl}
QUEST_20190104_010568	I sincerely hope that you will use your abilities for the Kingdom.{nl}Please use your power to bring order back to this chaotic world.
QUEST_20190104_010569	You came back here to see him? That's a new one.{nl}You wanna know what he's up to?
QUEST_20190104_010570	The time is nigh.{nl}I will wait in the cruel place that the tyrant has carved out.
QUEST_20190104_010571	{@ST41}{S20}Year 490 of the Kingdom, Barynwell Year 12{/}{/}{nl}Agailla Flurry is born.{nl}{nl}{@ST41}{S20}Year 508 of the Kingdom, Barynwell Year 30{/}{/}{nl}Agailla Flurry becomes a disciple to Maven, receives divine Revelation.{nl}{nl}{@ST41}{S20}Year 510 of the Kingdom, Barynwell Year 32{/}{/}{nl}Flurry becomes Linker Master after previous Master abdicates position.
QUEST_20190104_010572	You are correct.{nl}He has only feigning his possession to get himself out of trouble.
QUEST_20190104_010573	Now we will take the next step of the test.{nl}Let me know when you're ready.
QUEST_20190104_010574	Good. You have done well.{nl}Now you are a certified Exorcist.
QUEST_20190104_010575	Use Goddess Statue
QUEST_20190104_010576	Пожалуйста, выберите функцию.
QUEST_20190104_010577	Выберите мастера, которого вы хотите посетить.{nl}Телепорт стоит денег.
QUEST_20190104_010578	Boruta has collapsed from fatigue.{nl}The Kupoles are nowhere to be seen.
QUEST_20190104_010579	The following is a list of Individual Contribution by rank.
QUEST_20190104_010580	The following is a list of Guild Contribution by rank.
QUEST_20190104_010581	How may I help you?
QUEST_20190104_010582	Thank you very much for your contribution.
QUEST_20190104_010583	There are no rewards that can be claimed.
QUEST_20190104_010584	Boruta is still at large.{nl}We need more help...
QUEST_20190104_010585	We have successfully subdued Boruta thanks to you.{nl}Thank you so much.
QUEST_20190104_010586	Royal Supply Officer
QUEST_20190104_010587	Thank you for your contribution to the Goddess' and the Kingdom's cause.{nl}If you have with you the symbol of your contribution, I will exchange them with items that will be useful in your adventures.
QUEST_20190104_010588	We have collected many hidden artifacts from around the Kingdom in case of such emergencies.{nl}We've asked the Merchants for their help as well.
QUEST_20190104_010589	Boruta seems to be fatigued.{nl}Perhaps it would be better if we leave him alone for now.
QUEST_20190104_010590	I'm here to support the many Saviors who are challenging Boruta.{nl}If you're ready now, I can help you too.
QUEST_20190104_010591	If you bring me 8 Ripped Book Pages, I can exchange them for one of my books.{nl}Come see me again if you have any questions or when you're ready to trade.
QUEST_20190104_010592	I see you have 8 Ripped Book Pages. Would you give them to me?{nl}I'm not just going to keep them, of course. I'll give you one of my books in return.  
QUEST_20190104_010593	Besides my work with important publications and Sage literature,{nl}I've also been gathering loose book pages and restoring them.{nl}
QUEST_20190104_010594	I am giving one of my books to everyone who can bring me a set of Ripped Book Pages.{nl}That way, those who are interested in books can get something they like, and I can collect more materials for my work.{nl}
QUEST_20190104_010595	You have no collection rewards to receive.
QUEST_20190104_010596	Choose the collection reward to receive.
QUEST_20190104_010597	You already have received the reward for this collection.
QUEST_20190104_010598	You've completed many collections.{nl}Your collections are a valuable contribution for the Magic Association.{nl}
QUEST_20190104_010599	I've prepared a special present as a token of gratitude.{nl}It's not much but I hope you like it.
QUEST_20190104_010600	You've completed so many collections...{nl}Thank you for helping the Magic Association, Savior.{nl}
QUEST_20190104_010601	I've prepared another gift for you for helping us out.{nl}Please, accept it as a token of gratitude.
QUEST_20190104_010602	What do you think?{nl}Did you find out if he was possessed?
QUEST_20190104_010603	I've heard the news already, but let me ask you again.{nl}Have you completed the exorcism?
QUEST_20190104_010604	Weapon Type Change Helper
QUEST_20190104_010605	Welcome Savior.{nl}I am the Weapon Change Helper, I will help you change your weapon.{nl}
QUEST_20190104_010606	There are a couple of things you should be aware of before we proceed.{nl}You can change the type of weapon in your possession one time.{nl}
QUEST_20190104_010607	But there are cases where weapon type cannot be changed.{nl}All weapons that have been enhanced, transcended, awakened, traded or equipped/extracted with Ichor, or had its appearance changed after the Re:Build update is not eligible for weapon change.{nl}Please double check that your weapon is eligible for this service.{nl}
QUEST_20190104_010608	Would you like to proceed with the Weapon Type Change?
QUEST_20190104_010609	The history of the Enchanters may be short, but they have undergone continuous change to achieve their goal.{nl}But despite this change, we have not forgotten the mission set out by Jane. 
QUEST_20190104_010610	I warned you...{nl}Hey, wake up!
QUEST_20190104_010611	Territory Wars Helper
QUEST_20190104_010612	We are giving out support items to help you in the Guild Territory Wars.{nl}Guilds that successfully claim a territory will receive special timed costumes and armbands.
QUEST_20190104_010613	The Guild Territory Wars period has ended.
QUEST_20190104_010614	Guild Territory Wars is currently underway.{nl}You are prohibited from forming a new guild during this time (19:55~21:01).
QUEST_20190104_010615	We are giving out support items to help you in the Guild Territory Wars.{nl}You can claim your support items every Sunday between 19:00 ~ 20:59.
QUEST_20190104_010616	The Guild Territory Wars period has ended.
QUEST_20190104_010617	Expedition Merchant
QUEST_20190104_010618	Many guilds are participating in the Territory Wars, how many of them do you think can come out victorious?{nl}Only a select few, undoubtedly.{nl}
QUEST_20190104_010619	Who knows? Maybe your guild will be a winner.{nl}You'll have a better chance with the supplies I've prepared for you!
QUEST_20190104_010620	You can repair the damaged structure.
QUEST_20190104_010621	You can mount the siege tower.
QUEST_20190104_010622	Unfortunately, I don't have anything for your guild at the moment.{nl}Please come back after you've won the Territory Wars.
QUEST_20190104_010623	Congratulations! Your guild has won the Territory Wars!{nl}I am impressed.{nl}
QUEST_20190104_010624	The items I've given you are to congratulate you on your win.{nl}Do you like it?
QUEST_20190104_010625	Your guild has won the Territory Wars!{nl}
QUEST_20190104_010626	The items I've given you are to congratulate you on your win.{nl}Do you like it?
QUEST_20190104_010627	I have nothing more to give you.{nl}Please return after the next Territory Wars is over.
QUEST_20190104_010628	Outlaw Master Maea Kellefinker
QUEST_20190104_010629	Anything goes in a fight.{nl}Only the strong survive and those who survived to the end are the true victors.
QUEST_20190104_010630	To gain someone's trust, you must show your loyalty.{nl}It's a waste of time dealing with disloyal people, I tell ya.
QUEST_20190104_010631	I don't have a Master's certificate but I'm certain that I am both skilled and qualified enough to be one.{nl}You don't need some king's permission to be a master.
QUEST_20190104_010632	Outlaw Master Jazz Kellefinker
QUEST_20190104_010633	Some say that we are nothing but a couple of dirty low-lives.{nl}And most of the time it turns out they're all talk.
QUEST_20190104_010634	Anytime you need help, just remember that you're an Outlaw.{nl}We have friends in every city of the Kingdom.
QUEST_20190104_010635	Sometimes people wanna have a go at us because we don't have an official certificate.{nl}One of those people, who happened to be a certified master, dueled my sister and barely survived.
QUEST_20190104_010636	Test Dialogue
QUEST_20190104_010637	Вы можете войти или отменить вход в квест гильдии.{nl}Пожалуйста выберите в меню.
QUEST_20190104_010638	Just get me a little Silver and you too can go home with one of my treasures!{nl}How much Silver depends on whatever the tax rate is in the city right now...
QUEST_20190104_010639	Oh! And, uh, ever heard of Old Golden Coins?{nl}I'm collecting those, ya know.{nl}If you get me some Old Golden Coins I'll even give you a little something for free.
QUEST_20190104_010640	I can give you one of the treasures Geraldas collected in exchange for Silver.{nl}As you know, the Silver price depends on the tax rate in the city.
QUEST_20190104_010641	If you have any Ancient Golden Coins to offer, I can give you even better treasures for no Silver.
QUEST_20190104_010642	So here's what you do: pay me some Silver and I give you one of my brother's goods.{nl}How much Silver? That depends on the tax rate in the city right now.
QUEST_20190104_010643	If you can offer a few Ancient Gold Coins, that's another story. I won't ask for Silver then.
QUEST_20190104_010644	Move to the location previous to the mine entrance?
QUEST_20190104_010645	The lamp is protecting the mana that's being released.
QUEST_20190104_010646	Savior, help us!!
QUEST_20190104_010647	We've found the den of a vicious demon named Asiomage{nl}but we are powerless to stop him.
QUEST_20190104_010648	At this rate, he will gather the strength to wipe out the human race.{nl}
QUEST_20190104_010649	Please stop the Asiomage before it's too late!
QUEST_20190104_010650	Astral Tower Unique Raid Message 1
QUEST_20190104_010651	Monsters are gathering at the sight of the invader.{nl}Absorb their souls and break the seal.
QUEST_20190104_010652	Astral Tower Unique Raid Message 2
QUEST_20190104_010653	The seal has been broken.
QUEST_20190104_010654	Astral Tower Unique Raid Message 3
QUEST_20190104_010655	Protect the Magic Condenser from monsters until it is activated to break the seal.
QUEST_20190104_010656	Astral Tower Unique Raid Message 4
QUEST_20190104_010657	The Magic Condenser has been activated.
QUEST_20190104_010658	Astral Tower Unique Raid Message 5
QUEST_20190104_010659	Monsters have destroyed the Magic Condenser.
QUEST_20190104_010660	Astral Tower Unique Raid Message 6
QUEST_20190104_010661	Ignas is sending his men to stop you from activating the control device.
QUEST_20190104_010662	Astral Tower Unique Raid Message 7
QUEST_20190104_010663	You have failed to protect Ramunas and failed to activate the Power Supply.
QUEST_20190104_010664	Astral Tower Unique Raid Message 8
QUEST_20190104_010665	All Power Supplies have been destroyed and the device was not activated.
QUEST_20190104_010666	Astral Tower Unique Raid Message 9
QUEST_20190104_010667	The last seal has been broken.{nl}Defeat Ignas.
QUEST_20190104_010668	Astral Tower Unique Raid Message 10
QUEST_20190104_010669	The Magic Condenser has stopped functioning
QUEST_20190104_010670	Astral Tower Unique Raid Message 11
QUEST_20190104_010671	Power Supply has been activated and the last seal is starting to weaken.
QUEST_20190104_010672	Astral Tower Unique Raid Message 12
QUEST_20190104_010673	The monsters seem to be appearing around the western Power Supply.
QUEST_20190104_010674	Astral Tower Unique Raid Message 13
QUEST_20190104_010675	The monsters seem to be appearing around the eastern Power Supply.
QUEST_20190104_010676	Astral Tower Unique Raid Message 14
QUEST_20190104_010677	The monsters seem to be appearing around the central Power Supply.
QUEST_20190104_010678	Astral Tower Unique Raid Message 15
QUEST_20190104_010679	The monsters seem to be appearing around both Power Supplies.
QUEST_20190104_010680	I was worried sick after I came across Ignas' evil plans, thank god you're here.{nl}Commander Byle is not available as he has left to seek the Masters' help.
QUEST_20190104_010681	Along with the others, I will try to stop the monsters from escaping.{nl}Please deal with the monsters inside by helping Elder Ramunas.{nl}If successful, the Kingdom and the Schaffenstar will be freed from Ignas' threat.
QUEST_20190126_010682	I've activated the Statue of Vakarine in areas you already visited.{nl}It isn't much, but I hope it helps.
QUEST_20190126_010683	Weekend Draw Helper
QUEST_20190126_010684	You can receive one set of rewards every weekend during the event.{nl}Just come by anytime between Friday and Sunday!
QUEST_20190126_010685	You already received your rewards this week.
QUEST_20190201_010686	Just get me a little Silver and you too can go home with one of my treasures!{nl}How much Silver depends on whatever the tariff rate is in the city right now...
QUEST_20190201_010687	I can give you one of the treasures Geraldas collected in exchange for Silver.{nl}As you know, the Silver price depends on the tariff rate in the city.
QUEST_20190201_010688	So here's what you do: pay me some Silver and I give you one of my brother's goods.{nl}How much Silver? That depends on the tariff rate in the city right now.
QUEST_20190215_010689	Hey, how did you know I was looking for that?{nl}I can't believe this! Thank you!{nl}Hm, but I can't just take this now, can I? Tell you what, I'll give you a little something in return.
QUEST_20190215_010690	Hm? You don't have any? Ah, well...{nl}That's alright. Just let me know if you find any Widnium Fragments.{nl}I can get you something nice in return.
QUEST_20190215_010691	Ha, I can finally get on with the research for this ore! Thank you, thank you!{nl}Say, if you happen to find any more, just bring it to me and I'll pay you back just like today.
QUEST_20190216_010692	Select an item to transcend to Stage 5.
QUEST_20190216_010693	Select an item to enhance to +11. 
QUEST_20190223_010694	The Monster Tamer event is back!{nl}Capture and train your favorite monsters to defeat the bosses!{nl}
QUEST_20190223_010695	Right-click the 'Special Monster Trapper' to capture up to 3 monsters.{nl}{#003399}Tip!{/}{nl}You can catch any monster in regular fields, Hunting Grounds and the Challenge Mode, except for Elite and Boss monsters.{nl}The lower a monster's HP, the higher your chances of catching it! Defeated monsters cannot be captured.
QUEST_20190223_010696	In order to {#003399}enter the event mission{/}, you need  
QUEST_20190223_010697	, which we are giving out 12 at a time every day, once per team.{nl}You can enter the mission as many times as you want.{nl}
QUEST_20190223_010698	Select a monster to release.{nl}{#003399}Tip!{/}{nl}You can only release one monster at a time, which consumes Monster Energy x30.{nl}When you capture a new monster, it will have the same level as the one you released.
QUEST_20190223_010699	Golden Pig Helper
QUEST_20190223_010700	Find your fortune in 2019 with the Golden Pig!
QUEST_20190223_010701	Important!{nl}* If you don't move for a certain period of time, you may not receive any rewards.{nl}* The Savior who finds the most Golden Pigs receives an additional prize!
QUEST_20190223_010702	Resolutions Helper
QUEST_20190223_010703	Three plus three is six. Plus three, that's nine days of resolutions!{nl}I hope your resolution is to play TOS every day!
QUEST_20190223_010704	Go ahead and choose your goal.{nl}You can complete your goal only {#003399}once per day{/}.{nl} {#FF0000}You can't change your goal until you complete 3 days of it.{/}
QUEST_20190223_010705	You have completed your goal for today.{nl}Come and try out a new goal tomorrow!
QUEST_20190223_010706	Irredian Shelter
QUEST_20190223_010707	Reset Points Helper
QUEST_20190223_010708	We're giving away Class Points to characters of certain classes.{nl}These points will be awarded {#0054FF}once per eligible character{/}.{nl}You can receive 1,000 points per class (max. 3,000 points).
QUEST_20190223_010709	Eligible classes are as follows.{nl}Swordsman tree: Murmillo{nl}Wizard tree: Cryomancer{nl}Cleric tree: Plague Doctor
QUEST_20190223_010710	Your character has already received the Class Points.
QUEST_20190223_010711	Your character hasn't advanced into an eligible class.
QUEST_20190223_010712	Вы превысили лимит поcещения.
QUEST_20190223_010713	Собери {#003399}Wings of Vaivora Coins{/} и обменять их в нашей ассоциации на полезные вещи.{nl}Вы можете получить {#003399}Wings of Vaivora Coins{/}за вашу{#003399}посещаемость как награда{/}.
QUEST_20190223_010714	Collect {#003399}Wings of Vaivora Coins{/} and exchange them at our association for useful supplies.{nl}You can obtain {#003399}Wings of Vaivora Coins{/} from your {#003399}attendance rewards{/}.
QUEST_20190223_010715	I hope you receive some good news during the next Territory Wars.
QUEST_20190223_010716	Abandoned Book
QUEST_20190223_010717	 The three rulers of Nicopolis are now more powerful than ever. Their greed knows no limits. Not satisfied with holding a grasp over Nicopolis, they are trying to influence life in the Kingdom beyond the city.{nl}
QUEST_20190223_010718	 His Majesty King Jusel is wise, and the Kingdom's young officials will not dare to taint their careers with bribes or illicit requests; I know the Court will not falter. What's more, the three of them are convinced that they themselves are the greatest wizards of our generation, above any Class Master. Surely they're going to use magic.
QUEST_20190223_010719	I believe they may try to seal off the city's borders and isolate it from the rest of the Kingdom, as a means to coerce the residents. Once the city is sealed off, the Kingdom will try and eventually tear down the barriers, but no one knows what might happen within the city until they succeed. 
QUEST_20190223_010720	Once the refuge is built, the Court can send out officials here to look after the site until the barriers are down.{nl}On the other hand, I worry that they may create a powerful magic weapon or use the city's residents to threaten the Kingdom. In that case, we can only hope the refuge will come in hand. 
QUEST_20190223_010721	Now that the Kedora Alliance has delivered the last materials, construction of the refuge is almost complete. Not only did we manage to build a place far from the gazes of the city rulers, we've also made good allies in the process. 
QUEST_20190223_010722	Should they try anything, having this shelter will allow us to denounce the rulers to the Court so they can be properly persecuted under the law. When that happens, I'm certain that better days will come to the city.{nl}- Written by Irredian, on a day of the reign of His Majesty King Jusel
QUEST_20190223_010723	Blackened Diary
QUEST_20190223_010724	To my beloved son,{nl}{nl}Thinking back, I am glad you decided to leave Nicopolis to work at the Court. I am glad I couldn't make you stay. I am writing this letter because I worry that you may try to come back after hearing what happened to the city.{nl}His Majesty cutting ties with all the incompetent Court officials and hiring young professionals like yourself is something unheard of in the last 300 years of our Kingdom's history.{nl}So don't worry about anything else, just focus on your work in the capital and serving our government.
QUEST_20190223_010725	You may hear rumors of the abuses our leaders are perpetrating, but please don't come back in vain. A great wizard by the name of Irredian is already preparing measures for an emergency, so there is no need to worry. He also built a shelter we can use if needed.{nl}I can't explain too much in detail, but the way I see it, if anything happens in Nicopolis we'll be safe as long as we're here.
QUEST_20190223_010726	Remember, Nicopolis is still under the Kingdom's jurisdiction. Neither the Pervading Queen nor the Quipmage will be able to get away with hurting our residents. If they do try that, we can always escape to the shelter. You know, your dad may not be a high-ranks wizard, but I can tell for certain that this shelter is going to survive any disaster that comes our way.{nl}So please, don't think about me being here on my own. Do your duty as a loyal vassal of His Majesty's and be the greatest administrator this Court has ever seen.{nl}- Year three hundred and... (illegible)
QUEST_20190223_010727	Wrinkled Paper
QUEST_20190223_010728	Dear customer.{nl}We have received your payment for the latest shipment of magic materials.{nl}The final load of cargo has arrived safely in Nicopolis and it is ready to be used.{nl}We hope you will find good use in our fine magic materials. Thank you for choosing the Kedora Merchant Alliance.
QUEST_20190223_010729	Should you require any further material support, do not hesitate to contact us.{nl}- Year 379 of the Kingdom, Kedora Alliance West Branch Manager O'Brian
QUEST_20190223_010730	Scribbled Paper
QUEST_20190223_010731	What is going on with Nicopolis?{nl}The Quipmage and the Specter, and the so-called Queen are making things worse.{nl}They keep people from moving out, so the rest of the Kingdom doesn't know what's happening.{nl}I'm only glad Irredian is standing up to them.
QUEST_20190223_010732	At least here we don't see the Quipmage, so I'm happy.
QUEST_20190223_010733	When the Pervading Queen first started to call herself that, she was only half-joking.{nl}Now, she's like a character out of a children's story.
QUEST_20190223_010734	This place was well made, sure, but I don't see it lasting forever.{nl}If things get worse in Nicopolis, I might have to consider leaving the city altogether.{nl}I just wish the king would send in a secret envoy to investigate...{nl}If he knew, he wouldn't let those three ruin the city...
QUEST_20190223_010735	Sage Envoy
QUEST_20190223_010736	Greetings. I am a Sage envoy, dispatched by order of the Court.{nl}Recently, there has been a surge of dimensional cracks connected to the demon realm appearing all around the Kingdom.{nl}We have also received reports that the demons are able to travel through those cracks.{nl}
QUEST_20190223_010737	The Court is requesting the assistance of the nation's guilds in order to defeat these demons.{nl}We need your cooperation now more than ever. Would you be willing to join us?
QUEST_20190223_010738	The Court is requesting the assistance of the nation's guilds in order to defeat these demons.{nl}Some of our allies are already battling the monsters as we speak.{nl}Would you join them in the name of the Kingdom?
QUEST_20190223_010739	A demon was spotted here after entering our world through one of the cracks.{nl}It seems it became injured in battle and escaped back to its realm through the crack.{nl}Surely it will return to this place looking for revenge.{nl}
QUEST_20190223_010740	The Court is requesting the assistance of the nation's guilds in order to defeat these demons.{nl}Would you be willing to join us and defeat the demon when it returns?
QUEST_20190223_010741	Thank you for your cooperation.{nl}I will make sure the next crack is redirected to this very location.{nl}I only ask that you be careful, it is a very strong demon.
QUEST_20190223_010742	Thank you for your cooperation. Soon the dimensional crack will open and the demon will return.{nl}I must ask you to be careful, it is a very strong demon.
QUEST_20190223_010743	I don't see any signs of a dimensional crack opening here so soon.{nl}Do return later.
QUEST_20190223_010744	Thank you for defeating the demon.{nl}Do return next time if you wish to assist us again.
QUEST_20190223_010745	It seems the demon was made to reappear elsewhere and defeated there.{nl}But more demons are still infiltrating our world through the cracks, we still need your assistance.{nl}Do come and find me whenever you are ready.
QUEST_20190223_010746	With your help, we defeated the demon from another dimensional crack.{nl}But more demons are still infiltrating our world through these cracks.{nl}We need your assistance now more than ever. Do come and find me whenever you are ready.
QUEST_20190223_010747	In order to open a dimensional crack, your guild master must first grant you that authority.{nl}I suggest you contact them about it.
QUEST_20190223_010748	Hm... I apologize, I don't think your forces are sufficient for this task.{nl}You and your guildmates must first reach Guild Level 5. Do come and see me when you are ready.
QUEST_20190223_010749	Please select your Guild Hangout raid difficulty.{nl}The lower the value, the weaker the demon, and vice-versa.
QUEST_20190223_010750	You... recently abandoned your previous guild, I see.{nl}I'm afraid the Court will not accept those who have abandoned their last guild in the past 14 days.{nl}Do understand. You may return in a few days.
QUEST_20190223_010751	You are currently under penalty for becoming incapable of combat.{nl}The penalty is lifted 30 seconds after you become incapable of combat.{nl}Should you participate under the penalty, part of your contribution will be lost.{nl}
QUEST_20190223_010752	Do you want to participate under the penalty?
QUEST_20190223_010753	You can only participate in the raid here if you are a member of this guild.{nl}Please consult the Sage Envoy in your Guild Hangout.
QUEST_20190223_010754	No captured monsters.{nl}{#003399}Tip!{/}{nl}You can train up to 3 monsters, for which you need Monster Energy.{nl}To collect Monster Energy, defeat monsters in regular fields.{nl}Monster Energy will not drop from monsters more than 21 levels above or below your character.
QUEST_20190223_010755	Which monster do you want to level up?{nl}{#003399}Tip!{/}{nl}You need Monster Energy to level up your monsters.{nl}It drops at a low rate from defeated monsters in fields.{nl}Monster Energy will not drop from monsters more than 21 levels above or below your character.
QUEST_20190223_010756	You are permitted entry during the following times.{nl}21:10 - 21:25{nl}21:30 - 21:45{nl}(On your server region's timezone)
QUEST_20190223_010757	Entrance is allowed only during a set schedule. Entry times are as follows.{nl}
QUEST_20190313_010758	Eligible classes are as follows.{nl}Swordman: Hackapell, Murmillo{nl}Wizard: Necromancer, Psychokino, Cryomancer{nl}Cleric: Druid, Monk, Plague Doctor{nl}Scout: Assassin, Rogue, Linker, Bullet Marker, Outlaw, Enchanter, Corsair, Squire, Shinobi, Schwarzer Reiter
QUEST_20190313_010759	Scout-tree characters receive an additional {#0054FF}Skill Reset Potion (14 Days) x1{/} and {#0054FF}Attribute Reset Potion (14 Days) x1{/}.
QUEST_20190322_010760	Joha's Bucket of Mudfish
QUEST_20190322_010761	Please select one.
QUEST_20190322_010762	Hiya! You here for another round of fishing?{nl}Boy do I have something special for you today.{nl}
QUEST_20190322_010763	Check this out, it's mudfish! I caught them myself!
QUEST_20190322_010764	Not too convinced, are you?{nl}Aw, come on. Just give them a try!{nl}
QUEST_20190322_010765	Everyone's been so keen on fishing these days, my business is doing pretty well!{nl}Hehe, so I'm glad I can finally give this a try.{nl}
QUEST_20190322_010766	What I mean is, you can use my mudfish as bait now!{nl}
QUEST_20190322_010767	Pretty impressive, huh? I know.{nl}
QUEST_20190322_010768	I mean, they aren't free, of course.{nl}But I'm selling them at a good price!{nl}
QUEST_20190322_010769	Besides, this bait's effects are very, very special.{nl}How do I know this? ...It's a trade secret, shh!{nl}Anyways, go ahead, give 'em a try!{nl}
QUEST_20190322_010770	You can get the mudfish from this bucket here.
QUEST_20190322_010771	Привет!{nl}Меня зовут Joha, я управляю местом для рыбалки здесь в Клайпеде.{nl}Я также продаю все виды рыболовных принадлежностей.
QUEST_20190322_010772	If you want to have a go, make sure to use my special bait during the event period.{nl}Just get some from the bucket over here!
QUEST_20190412_010773	Pajauta
QUEST_20190412_010774	Can you keep working with me?{nl}I'll be here waiting for you.
QUEST_20190412_010775	I'm not sure about you yet.{nl}I'll think about it if you're willing to help me.
QUEST_20190412_010776	I don't believe people like you, who say they dreamt of the Revelations.{nl}If there really were Revelators out there, I know I would be one of them.{nl}Why, then, did I not have those dreams?
QUEST_20190412_010777	{nl}I guess only Goddess Laima will know...
QUEST_20190412_010778	I used to think that praying to the goddess would solve everything...
QUEST_20190412_010779	I knew there'd be monsters here.{nl}You can go ahead and get rid of them. I'll go and set the Mark.{nl}We'll meet up again in a minute.
QUEST_20190412_010780	This city feels a lot safer than the Capital...
QUEST_20190412_010781	I thought they were gone for good...{nl}...but there's even more of them now.{nl}We need to deal with this now.
QUEST_20190412_010782	You're just in time.{nl}I need to look in Central Square, you take care of those.
QUEST_20190412_010783	I'll deal with the rest.{nl}Alright, I'm counting on you.
QUEST_20190412_010784	That's magnetic dirt.
QUEST_20190412_010785	You focus on finding magnetic dirt.{nl}I can take care of the rest.
QUEST_20190412_010786	Why does it feel like the monsters keep getting in our way whenever you're around...
QUEST_20190412_010787	Can you handle them on your own?{nl}I'm can set up the Mark in the meantime.
QUEST_20190412_010788	Look at the people here.{nl}They're terrified, but they keep holding on to their lives.{nl}Is it because of the big goddess statue?
QUEST_20190412_010789	Still, it's nice to finally see other people after so long.
QUEST_20190412_010790	Are you sure you want to use {#FF0000}Dark Energy{/}?{nl}The buff will apply for {#FF0000}6 days{/} to your current {#FF0000}character{/} only. 
QUEST_20190416_010791	Are you sure you want to use {#FF0000}Dark Energy{/}?{nl}The buff will apply for {#FF0000}6 days{/} to your current {#FF0000}character{/} only while inside {#FF0000}Velcoffer's Nest{/}.
QUEST_20190419_010792	These must be our soldiers' supplies... Who are you?
QUEST_20190419_010793	... I see. Thank you for helping us, Revelator.
QUEST_20190419_010794	Recovery Squad Member
QUEST_20190419_010795	A Revelator...! We can finally get back what's ours.{nl}My comrades and I promised we'd take back our town. I should go back and get ready for combat now. 
QUEST_20190419_010796	Master said we should focus on the investigation.{nl}If we go back now, we'll be in big trouble...
QUEST_20190419_010797	Is Master joining the battle?{nl}He's only been giving us orders, but he never joins our battles.{nl}I'm starting to doubt his motives. 
QUEST_20190419_010798	I'm going to send Master a carrier pigeon!{nl}Just hold on!
QUEST_20190419_010799	You're here. The giant monster already ate the tranquilizer bait and is knocked out now.{nl}I'm going to attack it and try to create a diversion.
QUEST_20190419_010800	This monster is extremely aggressive, it's going to come running as soon as it wakes up.{nl}When it comes for me, make sure to attack it from the side.
QUEST_20190419_010801	Uhh... I'm sorry, Revelator. I didn't mean to let it get away... I just froze, I didn't know what to do.{nl}But at least the poison seems to have worked. I could tell it was in pain after it attacked me.{nl}But don't worry about me, go find the monster and defeat it!
QUEST_20190419_010802	I'd be done for if it wasn't for you. Thank you.
QUEST_20190419_010803	I really thought I was going to die. Thank you, Revelator.
QUEST_20190419_010804	Select the Earth Tower area you wish to enter.
QUEST_20190419_010805	So would you get me 10 Twinkling Star Pieces?{nl}Ah, right! This is important, so let me say that again.
QUEST_20190419_010806	{#003399}Tip!{/} Twinkling Star Pieces dropped at{nl}- Legend Raids 
QUEST_20190419_010807	 : x5{nl}- Unique Raids : x5{nl}- Challenge Mode Stage 5+: x2{nl}- Saalus Convent Missions: x1{nl}- Level Dungeons: x1
QUEST_20190419_010808	{#FF0000}Tip!{/}{nl}Your 
QUEST_20190419_010809	Twinkling Star Piece
QUEST_20190419_010810	s drop around 5 minutes after your clear the mission or dungeon!
QUEST_20190419_010811	Alright, kid. I'll be waiting for those pieces!
QUEST_20190419_010812	I could use a lot more of those Twinkling Star Pieces.{nl}Everyone's coming in for better gear, you know.
QUEST_20190419_010813	I've been working on a special type of gear, but I'm in a bit of a rut because of those pieces.{nl}Would you get me some Twinkling Star Pieces from the monsters?
